一	yī
个	gè
个中	gèzhōng
个人	gèrén
个体	gètǐ
个儿	gèér
个别	gèbié
个头儿	gètouer
个子	gèzi
个性	gèxìng
个数	gèshù
个案	gèàn
丫头	yātou
中	zhōng
中产阶级	zhōngchǎnjiējí
中介	zhōngjiè
中医	zhōngyī
中午	zhōngwǔ
中华	zhōnghuá
中华民族	zhōnghuámínzú
中叶	zhōngyè
中和	zhōnghé
中国	zhōngguó
中国画	zhōngguóhuà
中型	zhōngxíng
中外	zhōngwài
中央	zhōngyāng
中奖	zhòngjiǎng
中学	zhōngxué
中学生	zhōngxuéshēng
中小学	zhōngxiǎoxué
中年	zhōngnián
中庸	zhōngyōng
中心	zhōngxīn
中性	zhōngxìng
中文	zhōngwén
中断	zhōngduàn
中旬	zhōngxún
中暑	zhòngshŭ
中期	zhōngqī
中止	zhōngzhǐ
中毒	zhòngdú
中秋节	zhōngqiūjié
中立	zhōnglì
中等	zhōngděng
中级	zhōngjí
中肯	zhòngkěn
中药	zhōngyào
中途	zhōngtú
中部	zhōngbù
中间	zhōngjiān
中风	zhòngfēng
中餐	zhōngcān
丰厚	fēnghòu
丰富	fēngfù
丰富多彩	fēngfùduōcǎi
丰收	fēngshōu
丰满	fēngmǎn
丰盛	fēngshèng
丰硕	fēngshuò
串	chuàn
串门	chuànmén
临	lín
临床	línchuáng
临时	línshí
临终	línzhōng
临街	línjiē
临近	línjìn
丸	wán
为	wèi
为2	wéi
为主	wéizhǔ
为了	wèile
为人	wéirén
为什么	wèishénme
为何	wèihé
为数	wéishù
为期	wéiqī
为止	wéizhǐ
为此	wèicǐ
为生	wéishēng
为难	wéinán
为首	wéishŏu
主	zhǔ
主义	zhǔyì
主人	zhǔrén
主人公	zhǔréngōng
主人翁	zhŭrénwēng
主任	zhǔrèn
主体	zhǔtǐ
主力	zhǔlì
主办	zhǔbàn
主动	zhǔdòng
主妇	zhǔfù
主宰	zhǔzǎi
主导	zhǔdǎo
主席	zhǔxí
主张	zhǔzhāng
主意	zhǔyì
主打	zhǔdǎ
主持	zhǔchí
主持人	zhǔchírén
主旨	zhŭzhĭ
主权	zhǔquán
主流	zhǔliú
主演	zhǔyǎn
主管	zhǔguǎn
主编	zhǔbiān
主要	zhǔyào
主见	zhŭjiàn
主观	zhǔguān
主角	zhǔjué
主轴	zhŭzhóu
主页	zhǔyè
主题	zhǔtí
主题歌	zhǔtígē
主食	zhǔshí
举	jǔ
举一反三	jǔyīfǎnsān
举世	jǔshì
举世无双	jǔshìwúshuāng
举世瞩目	jǔshìzhǔmù
